Model:	LI-7810
SN:	TG10-01524
Software Version:	2.3.5
Timestamp:	2024-07-17 07:49:27
Timezone:	US/Mountain
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1721230899	558494091	26941	0	""	2024-07-17	09:41:39	15220.096	441.84045	1967.6656	40.8726	55.0003	29.2547	51.1574	0.00308698	10.8351	54.5005	42.25	0.28126	16.0937	 95
DATA	1721230900	558494091	26945	0	""	2024-07-17	09:41:40	15222.268	444.73688	1966.8273	40.8718	55.0003	29.2564	51.1574	0.00298998	10.8371	54.5005	10	0.28126	16.0945	201
DATA	1721230901	558494091	26949	0	""	2024-07-17	09:41:41	15229.046	443.94894	1967.0876	40.8714	55.0003	29.2564	51.1574	0.00293017	10.8353	54.5005	-46.25	0.28126	16.0956	133
DATA	1721230902	558494091	26953	0	""	2024-07-17	09:41:42	15226.548	442.86914	1966.2469	40.871	55.0003	29.256	51.1573	0.00295298	10.8356	54.5005	-21.5	0.28126	16.0956	236
DATA	1721230903	558494091	26957	0	""	2024-07-17	09:41:43	15239.499	439.63495	1967.6521	40.871	55.0003	29.2564	51.1571	0.00295616	10.8356	54.5005	35.25	0.28126	16.0953	 45
DATA	1721230904	558494091	26961	0	""	2024-07-17	09:41:44	15239.004	445.94781	1966.7356	40.8714	55.0003	29.258	51.1574	0.00299505	10.8334	54.5005	46.75	0.28126	16.0953	 38
DATA	1721230905	558494091	26965	0	""	2024-07-17	09:41:45	15239.328	438.63031	1967.3547	40.8714	55.0003	29.2527	51.1576	0.00293944	10.8344	54.5005	-108.75	0.28126	16.0949	188
DATA	1721230906	558494091	26969	0	""	2024-07-17	09:41:46	15241.551	444.82703	1965.9583	40.8714	55.0003	29.2519	51.1574	0.00323567	10.8359	54.5005	-7.25	0.28126	16.0949	 90
DATA	1721230907	558131933	26973	0	""	2024-07-17	09:41:47	15255.749	439.79138	1966.9076	40.871	55.0003	29.2523	51.1574	0.00296158	10.8352	54.5005	35	0.28126	16.0953	151
DATA	1721230908	558131933	26977	0	""	2024-07-17	09:41:48	15250.914	440.80365	1966.8683	40.8722	55.0003	29.2564	51.1574	0.00371145	10.8354	54.5005	-28.25	0.28126	16.0956	126
DATA	1721230909	558131933	26981	0	""	2024-07-17	09:41:49	15326.47	441.7478	1966.5695	40.8714	55.0003	29.2543	51.1578	0.00337987	10.834	54.5005	-121.75	0.28126	16.0953	 42
DATA	1721230910	558131933	26985	0	""	2024-07-17	09:41:50	15268.846	441.59152	1966.8593	40.8714	55.0003	29.2539	51.1578	0.00298003	10.8364	54.5005	-120.75	0.28126	16.0949	182
DATA	1721230911	558131933	26989	0	""	2024-07-17	09:41:51	15270.537	446.13635	1967.239	40.8722	55.0003	29.2506	51.1574	0.00295454	10.8352	54.5005	30	0.28126	16.0945	119
DATA	1721230912	558131933	26993	0	""	2024-07-17	09:41:52	15276.24	438.4086	1965.8821	40.8714	55.0003	29.2539	51.1576	0.00295976	10.8339	54.5005	130.25	0.28126	16.0941	 30
DATA	1721230913	558131933	26997	0	""	2024-07-17	09:41:53	15283.255	440.69562	1966.7366	40.8718	55.0003	29.2584	51.1578	0.00290023	10.8352	54.5005	-119.25	0.28126	16.0937	179
DATA	1721230914	557785034	27001	0	""	2024-07-17	09:41:54	15283.427	443.24454	1967.5381	40.8718	55.0003	29.2543	51.1578	0.00296216	10.8359	54.5005	-159.5	0.28126	16.0933	117
DATA	1721230915	557785034	27005	0	""	2024-07-17	09:41:55	15291.494	439.04086	1967.1794	40.8718	55.0003	29.2523	51.1578	0.00296511	10.8358	54.5005	-28.25	0.28126	16.0933	126
DATA	1721230916	557785034	27009	0	""	2024-07-17	09:41:56	15293.72	443.52869	1966.1918	40.8714	55.0003	29.251	51.1578	0.00299394	10.8359	54.5005	-51.25	0.28126	16.0933	 35
DATA	1721230917	557785034	27013	0	""	2024-07-17	09:41:57	15307.35	439.6701	1969.7306	40.8722	55.0001	29.2486	51.1574	0.00296373	10.8351	54.5005	-18.5	0.28126	16.0933	216
DATA	1721230918	557785034	27017	0	""	2024-07-17	09:41:58	15303.058	438.02802	1966.8195	40.8714	55.0001	29.2498	51.1578	0.00296153	10.8354	54.5005	-12.5	0.28126	16.0945	 68
DATA	1721230919	557785034	27021	0	""	2024-07-17	09:41:59	15314.914	445.883	1967.6256	40.8718	55.0003	29.2482	51.1576	0.00295024	10.8354	54.5005	-50.5	0.28126	16.0953	224
DATA	1721230920	557785034	27025	0	""	2024-07-17	09:42:00	15320.076	440.68649	1966.5988	40.871	55.0003	29.2482	51.1578	0.00298909	10.8367	54.5005	-1	0.28126	16.0953	132
